scale0,scale1,samples,x1,x2
0,0,0,-0.927403303,22.76320361
0,0,0,-1.041899826,22.402294
0,0,0,0.047299689,23.29811017
0,0,0,0.195383888,22.55706832
0,0,0,-0.206146101,22.46932861
0,0,0,-0.044327736,22.46372129
0,0,0,0.3568248,23.15970747
0,0,0,-0.348733913,22.70528095
0,0,0,0.081843106,22.02396027
0,0,0,-0.28385931,22.84430049
0,0,0,0.278044372,22.19894905
0,0,0,-0.420825427,22.59009373
0,0,0,0.058114492,22.78864749
0,0,0,1.263539905,22.1617221
0,0,0,-0.267194446,22.86106229
0,0,0,-0.277440892,23.00044184
0,0,0,0.159868009,22.52801517
0,0,0,-0.477325918,22.38892033
0,0,0,0.35410938,22.35742324
0,0,0,-0.037483271,22.97506324
0,0,0,0.157948203,22.44357576
0,0,0,-0.625961546,22.44351535
0,0,0,-0.230069514,22.34468471
0,0,0,-0.258720546,22.53693856
0,0,0,0.278058096,22.50849285
0,0,0,0.317348208,22.63745373
0,0,0,-0.058613877,22.43442549
0,0,0,-0.302069772,22.51457015
0,0,0,-0.284525078,22.68731304
0,0,0,-0.137170328,23.08134067
0,0,0,-0.330520773,22.45537334
0,0,0,0.273425371,23.54466139
0,0,0,0.395953889,23.1513566
0,0,0,0.162444326,22.03182151
0,0,0,-0.306050209,21.86548168
0,0,0,-0.495932076,22.50583126
0,0,0,0.250876253,22.23610038
0,0,0,0.381288355,22.59233343
0,0,0,-0.516647825,22.57251619
0,0,0,-0.645783861,22.26669168
0,0,0,-0.266892171,22.57030146
0,0,0,-0.01145227,22.49510269
0,0,0,0.111407526,23.40342599
0,0,0,-0.338006299,22.93191113
0,0,0,-0.163093356,22.36036218
0,0,0,-0.00463549,21.9723675
0,0,0,0.18214857,22.5202008
0,0,0,0.117365859,22.32149205
0,0,0,0.216733284,22.77120361
0,0,0,0.290247324,22.28477679
0,0,0,0.237634854,22.85242487
0,0,0,0.50094089,22.99684163
0,0,0,-0.291461101,21.85291914
0,0,0,0.86621348,22.01143943
0,0,0,0.233623028,22.22894324
0,0,0,0.260943217,22.30885721
0,0,0,0.538120101,22.78082019
0,0,0,-0.592474541,22.43893957
0,0,0,-0.617235902,22.70094234
0,0,0,-0.37156707,22.75511915
0,0,0,-0.196702272,21.5665352
0,0,0,0.651197878,22.77860554
0,0,0,-0.881003206,22.10803707
0,0,0,-0.402002864,23.01891548
0,0,0,-0.317960141,22.33114976
0,0,0,0.236796316,22.64903332
0,0,0,-0.271646567,22.94306817
0,0,0,0.35593334,22.49554019
0,0,0,0.174910665,22.14146772
0,0,0,0.080690426,23.09197516
0,0,0,0.059544365,22.95703851
0,0,0,0.597436197,22.95792237
0,0,0,0.097188993,22.8517331
0,0,0,0.312764065,22.62881238
0,0,0,-0.928830848,22.50853383
0,0,0,-0.001471035,21.46491977
0,0,0,0.531037919,22.58098263
0,0,0,0.104087832,22.39379044
0,0,0,0.342910576,21.95326401
0,0,0,-0.531070158,23.25502461
0,0,0,0.53900629,22.39949423
0,0,0,-0.648639992,22.0361868
0,0,0,-0.249607354,22.76317596
0,0,0,0.029425816,22.16661511
0,0,0,0.094351274,22.00112878
0,0,0,0.148067304,22.02785502
0,0,0,-0.12120106,22.0826325
0,0,0,0.237872408,22.04900892
0,0,0,0.094432728,22.65842859
0,0,0,0.39921898,22.47548513
0,0,0,0.309279744,22.64365942
0,0,0,0.726781762,22.13116139
0,0,0,0.136775222,22.07948476
0,0,0,-0.02270757,22.94990118
0,0,0,-0.489950048,22.18880831
0,0,0,0.689890367,22.05334122
0,0,0,-0.634008149,22.51287927
0,0,0,-0.30939819,21.91785553
0,0,0,-0.068259152,22.39464764
0,0,0,-0.40114091,22.56137008
0,0,0,-0.21959767,22.79676673
0,0,0,0.17435713,22.28759568
0,0,0,0.807803712,22.66257523
0,0,0,-0.379822489,22.8318907
0,0,0,0.849712948,22.40084511
0,0,0,0.659934174,21.85275715
0,0,0,0.706177957,22.79986884
0,0,0,0.229385126,22.89417173
0,0,0,-0.257838945,22.89078929
0,0,0,0.742437884,22.02407657
0,0,0,0.356032463,22.28123348
0,0,0,0.245635064,22.51958609
0,0,0,-0.347801005,21.77591529
0,0,0,0.212230832,22.23463086
0,0,0,-0.772652679,22.89308701
0,0,0,0.27696217,23.27725628
0,0,0,-0.323319533,22.5789626
0,0,0,0.720908102,21.97194544
0,0,0,0.367321682,22.88555693
0,0,0,0.232978918,22.05600113
0,0,0,-0.083866166,22.92840711
0,0,0,0.359325638,22.01448048
0,0,0,0.309561592,22.63420558
0,0,0,-0.193949629,22.82046506
0,0,0,-0.720350475,22.60002088
0,0,0,-0.057874138,22.25340782
0,0,0,0.454914751,22.36609032
0,0,0,-0.136423828,23.27349553
0,0,0,0.202094686,22.11688494
0,0,0,-0.476293174,22.34704775
0,0,0,-0.076924633,22.65005079
0,0,0,0.556361326,22.87516659
0,0,0,0.392184743,22.54511183
0,0,0,0.206255478,22.33588094
0,0,0,-0.68776343,21.6014108
0,0,0,-0.929294144,22.26813598
0,0,0,-0.421228717,21.93270701
0,0,0,-0.233477025,22.98752239
0,0,0,-0.657035632,22.49243201
0,0,0,-0.260595458,22.95050343
0,0,0,0.154947731,22.28737402
0,0,0,0.188825775,22.80539137
0,0,0,0.132465686,22.63302267
0,0,0,0.148697553,22.02550139
0,0,0,0.175316373,22.86662887
0,0,0,-0.491790462,22.92091172
0,0,0,0.09508994,22.09666324
0,0,0,-0.24604179,22.80977249
0,0,0,0.219512163,22.25511707
0,0,0,-0.57913381,22.95485025
0,0,0,0.31250895,22.28306822
0,0,0,0.803303415,21.76872827
0,0,0,0.567631908,22.42864186
0,0,0,0.728337313,22.29661278
0,0,0,1.133094016,22.29578554
0,0,0,-0.46876303,22.40668796
0,0,0,0.299157683,22.96291885
0,0,0,0.408306517,22.61222284
0,0,0,0.196342736,22.72857442
0,0,0,-0.441601491,22.40454768
0,0,0,0.651571267,22.86382677
0,0,0,-0.458004678,22.88725138
0,0,0,0.081641244,22.22619933
0,0,0,0.926287135,22.22377638
0,0,0,0.006972786,22.31200795
0,0,0,0.172453423,22.83663329
